area;ciudad;zona;sector;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;plan_muestreo;fexp
1;10150;009;004;232;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;82,5463832551551
1;10150;009;004;232;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1012;82,5463832551551
1;10150;009;004;232;3;1;2;2;1;2;2;2;2;2;1;2;2;2;3;3;3;3;2;2;2;3;3;3;3;1012;82,5463832551551
1;10150;009;004;242;1;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1012;82,5463832551551
1;10150;009;004;242;2;1;2;1;1;1;3;2;2;2;1;1;2;2;3;1;3;3;2;2;2;2;1;3;1;1012;82,5463832551551
1;10150;009;004;242;3;1;2;2;1;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1012;82,5463832551551
1;10150;010;005;172;1;1;3;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;1013;80,1585083675007
1;10150;010;005;172;2;1;2;3;3;2;3;1;3;1;1;1;3;2;3;3;3;3;2;2;2;2;2;2;2;1013;80,1585083675007
1;10150;010;005;172;3;1;2;2;2;2;3;1;3;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1013;80,1585083675007
1;10150;010;005;182;1;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;2;2;1013;80,1585083675007
1;10150;010;005;182;2;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;2;3;1;1013;80,1585083675007
1;10150;010;005;182;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1013;80,1585083675007
1;10150;010;005;232;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;80,1585083675007
1;10150;010;005;232;2;1;3;2;2;2;3;1;3;1;1;1;3;3;3;3;3;3;2;2;2;2;2;3;3;1013;80,1585083675007
1;10150;010;005;232;3;1;2;2;2;2;3;1;3;1;1;1;3;2;3;3;2;3;2;2;2;2;2;2;2;1013;80,1585083675007
1;10150;010;005;232;3;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;2;3;3;1013;80,1585083675007
1;10150;010;005;242;1;1;2;2;2;2;3;1;3;2;1;1;3;3;3;3;3;3;2;2;2;2;1;2;2;1013;80,1585083675007
1;10150;010;005;242;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1013;80,1585083675007
1;10150;010;005;242;3;1;2;2;3;2;3;1;3;1;1;1;3;2;3;3;3;2;2;2;2;2;2;3;1;1013;80,1585083675007
1;10150;011;002;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1012;80,3917498663344
1;10150;011;002;172;2;1;2;2;2;2;2;1;2;1;1;1;3;2;3;3;3;2;2;2;2;2;2;3;2;1012;80,3917498663344
